id_tanah,harga_penawaran,shm,lebar_jalan,jarak_jalan_utama,jarak_cbd,jenis_tanah,bentuk_tanah,luas_tanah,lebar_depan,kategori_kawasan,kontur,elevasi_sejajar,elevasi_lebih_tinggi,elevasi_lebih_rendah,kategori_kawasan
1,"8,100,000,000.00",1,6,300,2000,1,0,450,18,1,1,1,0,0,1
3,"20,000,000,000.00",1,19,0,2400,0,1,1000,80,1,1,1,0,0,1
4,"6,556,000,000.00",1,6,500,4000,1,1,298,12,1,1,1,0,0,1
5,"53,000,000,000.00",1,4,30,3000,1,0,1600,30,1,1,1,0,0,1
6,"112,050,000,000.00",1,5,0,1800,1,0,3735,25.5,0,1,1,0,0,0
7,"650,000,000.00",1,3,20,4000,1,0,130,7,1,1,1,0,0,1
8,"2,249,000,000.00",1,7,53,740,1,1,173,14.4,0,1,1,0,0,1
9,"8,250,000,000.00",1,3,300,2000,1,1,530,26.5,0,1,1,0,0,0
10,"478,920,000,000.00",1,4,400,4500,1,0,11973,40,0,1,1,0,0,0
11,"9,240,000,000.00",1,8,350,4000,1,1,264,22,1,1,1,0,0,1
12,"9,660,000,000.00",1,6,30,200,1,1,483,34.5,0,1,1,0,0,1
13,"5,625,000,000.00",1,6,1,1000,1,1,225,12.5,1,1,1,0,0,1
14,"219,960,000,000.00",0,14,1,3000,1,0,4888,26,1,1,1,0,0,1
15,"24,949,100,000.00",1,6,400,400,1,1,1349,22,0,1,1,0,0,1
16,"13,507,000,000.00",0,4,400,400,1,1,540,26,0,1,1,0,0,1
17,"24,949,100,000.00",1,6,400,400,1,1,1349,22,0,1,1,0,0,1
18,"13,507,000,000.00",0,4,400,400,1,1,540,26,0,1,1,0,0,1
19,"219,960,000,000.00",0,14,1,3000,1,0,4888,26,1,1,1,0,0,1
20,"8,100,000,000.00",1,6,0,2800,1,1,1350,26,0,1,1,0,0,0
21,"590,100,000,000.00",0,8,0,1000,1,1,8430,98,1,1,1,0,0,1
22,"14,445,000,000.00",0,5,1,1000,1,1,963,18,0,1,1,0,0,1
