id_tanah,harga_penawaran,shm,lebar_jalan,jarak_jalan_utama,jarak_cbd,jenis_tanah,bentuk_tanah,luas_tanah,lebar_depan,kategori_kawasan,kontur,elevasi_sejajar,elevasi_lebih_tinggi,elevasi_lebih_rendah,kategori_kawasan
1,8100000000,1,6,300,2000,1,0,450,18,1,1,1,0,0,1
3,20000000000,1,19,0,2400,0,1,1000,80,1,1,1,0,0,1
4,6556000000,1,6,500,4000,1,1,298,12,1,1,1,0,0,1
5,53000000000,1,4,30,3000,1,0,1600,30,1,1,1,0,0,1
6,112050000000,1,5,0,1800,1,0,3735,25.5,0,1,1,0,0,0
7,650000000,1,3,20,4000,1,0,130,7,1,1,1,0,0,1
8,2249000000,1,7,53,740,1,1,173,14.4,0,1,1,0,0,1
9,8250000000,1,3,300,2000,1,1,530,26.5,0,1,1,0,0,0
10,478920000000,1,4,400,4500,1,0,11973,40,0,1,1,0,0,0
11,9240000000,1,8,350,4000,1,1,264,22,1,1,1,0,0,1
12,9660000000,1,6,30,200,1,1,483,34.5,0,1,1,0,0,1
13,5625000000,1,6,1,1000,1,1,225,12.5,1,1,1,0,0,1
14,219960000000,0,14,1,3000,1,0,4888,26,1,1,1,0,0,1
15,24949100000,1,6,400,400,1,1,1349,22,0,1,1,0,0,1
16,13507000000,0,4,400,400,1,1,540,26,0,1,1,0,0,1
17,24949100000,1,6,400,400,1,1,1349,22,0,1,1,0,0,1
18,13507000000,0,4,400,400,1,1,540,26,0,1,1,0,0,1
19,219960000000,0,14,1,3000,1,0,4888,26,1,1,1,0,0,1
20,8100000000,1,6,0,2800,1,1,1350,26,0,1,1,0,0,0
21,590100000000,0,8,0,1000,1,1,8430,98,1,1,1,0,0,1
22,14445000000,0,5,1,1000,1,1,963,18,0,1,1,0,0,1
23,2700000000,1,5,250,2000,1,1,180,18,0,1,1,0,0,1
24,590100000000,0,8,0,1000,1,1,8430,98,1,1,1,0,0,1
25,5760000000,1,5,50,2700,1,1,360,14,0,1,1,0,0,0
26,7735000000,0,6,150,1100,1,1,442,21,0,1,1,0,0,0
27,34500000000,1,8,100,11000,1,0,2325,78,0,1,1,0,0,0
28,2700000000,1,5,250,2000,1,1,180,18,0,1,1,0,0,1
29,9326250000,1,4,300,400,1,1,373,15,0,1,1,0,0,1
30,775000000,1,6,300,8000,1,0,155,11,0,1,1,0,0,0
31,1036000000,0,6,400,2000,1,1,296,10,0,1,1,0,0,1
32,9900000000,1,4,600,600,1,1,660,18,0,1,1,0,0,1
33,14445000000,0,5,1,1000,1,1,963,18,0,1,1,0,0,1
34,5640000000,1,5,600,600,1,1,564,15,0,1,1,0,0,1
35,4134000000,1,6,300,9000,1,0,636,16,0,1,1,0,0,0
36,6076000000,1,4,120,4000,1,0,1519,30,1,1,1,0,0,0
37,5335000000,0,6,600,600,1,1,194,8,1,1,1,0,0,1
38,4134000000,1,6,300,9000,1,0,636,16,0,1,1,0,0,0
39,28600000000,1,5,600,600,1,1,1300,50,1,1,1,0,0,1
40,23940000000,1,8,0,1000,1,0,342,13,1,1,1,0,0,1
41,651000000,1,5,50,4000,1,1,93,8,1,1,1,0,0,0
42,1163750000000,1,8,0,1000,1,1,11875,95,1,1,1,0,0,1
43,18000000000,1,6,300,3400,1,1,1100,31.5,0,1,1,0,0,0
44,50580000000,1,30,1,5000,1,0,843,23.5,1,1,1,0,0,1
45,1250000000,1,6,200,3000,1,0,125,10,1,1,1,0,0,1
46,1299600000,1,6,200,8000,1,1,342,12,0,1,1,0,0,0
47,7500000000,1,4,700,700,1,1,300,10,1,1,1,0,0,1
48,7500000000,1,6,600,600,1,1,300,15,1,1,1,0,0,1
49,2200000000,1,5.8,128,1000,1,1,86,6,0,1,1,0,0,1
50,25720000000,0,4,0,1300,1,0,1286,22,0,1,1,0,0,0
51,5500000000,1,6.6,330,1000,1,1,311,13,0,1,1,0,0,1
52,21000000000,1,6,5,1780,1,0,330,10,1,1,1,0,0,1
